,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Income (per month),Hobbies_Count,Age,has_child,Lives_in_city_tier,Clusters,More_than_average
0,OD115235130186750000,G3M1R2,17-04-2019,Delhi,New Delhi,Mobiles & Accessories,Mobiles,3.7,1,20999,20999,12%,Tier_1,0,0,POCO,Yes,No,4,2019,Weekday,9.952230097,Mid,Male,Student,Not Married,"Rs. 10,000 – 25,000",3,24,No,Tier 3,2,No
1,OD117342814747169000,G3M1R2,17-12-2019,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,3999,3999,18%,Tier_1,0,0,Realme,No,No,12,2019,Weekday,8.293799609,Mid,Male,Student,Not Married,"Rs. 10,000 – 25,000",3,24,No,Tier 3,2,No
2,OD116655289030474000,G3M1R1,29-09-2019,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,499,499,5%,Tier_1,0,0,Sassafras,No,No,9,2019,Weekend,6.212606096,End,Female,Student,Not Married,Prefer Not to Say,4,25,No,Tier_1,0,No
3,OD117224497390037000,G3M1R1,03-12-2019,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,376,376,0%,Tier_1,0,0,Ap'pulse,Yes,No,12,2019,Weekday,5.929589143,Beginning,Female,Student,Not Married,Prefer Not to Say,4,25,No,Tier_1,0,No
4,OD118951354305143000,G3M1R1,20-06-2020,Delhi,New Delhi,Home Furnishing,Cushions & Pillows,3.5,1,359,341,18%,Tier_1,6,0,Recron,No,1st Wave,6,2020,Weekend,5.831882477,End,Female,Student,Not Married,Prefer Not to Say,4,25,No,Tier_1,0,No
5,OD117436954229110000,G3M1R4,28-12-2019,Karnataka,Bengaluru,Food Products,Food Products,4.4,25,2879.78,2248.78,5%,Tier_1,22,0,HOUSEHOLD,No,No,12,2019,Weekend,7.718143126,End,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
6,OD117698992229130000,G3M1R4,27-01-2020,Karnataka,Bengaluru,Food Products,Food Products,4.4,22,1670,1288,5%,Tier_1,23,0,HOUSEHOLD,No,No,1,2020,Weekday,7.160845907,End,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
7, OD120558265400507000,G3M1R4,23-12-2020,Karnataka,Bengaluru,Furniture,Chairs,4.4,1,14578,14578,18%,Tier_1,0,0,Featherlite,No,No,12,2020,Weekday,9.587268822,End,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
8,OD121117394968508000,G3M1R4,26-02-2021,Karnataka,Bengaluru,Books,Books,4.6,1,699,704,0%,Tier_1,4,5,Human,No,No,2,2021,Weekday,6.556778356,End,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
9,OD121656434350788000,G3M1R4,29-04-2021,Karnataka,Bengaluru,Furniture,Tables,4.7,1,4299,4299,18%,Tier_1,0,0,InnoFur,No,2nd Wave,4,2021,Weekday,8.366137716,End,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
10,OD121669935248437000,G3M1R4,01-05-2021,Karnataka,Bengaluru,Food Products,Food Products,4.4,16,1582,1380,5%,Tier_1,13,0,HOUSEHOLD,No,No,5,2021,Weekend,7.229838778,Beginning,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
11,OD121759907465155000,G3M1R4,11-05-2020,Karnataka,Bengaluru,Food Products,"Dry Fruit, Nut & Seed",4.3,1,429,397,0%,Tier_1,8,0,Happilo,No,No,5,2020,Weekday,5.983936281,Mid,Male,"Domain Expert, Ergonomics",Married,Prefer Not to Say,2,32,No,Tier 3,2,No
12,OD119655556725610000,G3M1R5,10-09-2020,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,4.3,1,149,189,28%,Tier_1,0,27,Mitzvah,No,1st Wave,9,2020,Weekday,5.241747015,Mid,Male,RESEARCH SCHOLAR,Not Married,"Rs. 25,000 – 50,000",4,24,No,Tier 3,0,No
