,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,Covid,City_Tier,Discount%,Delivery Fee%,Sale,Brand,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,"In most ways, my life is close to my ideal",The Conditions in my life are excellent.,"So far, I have got the important things I want in my life","If I could live my life over, I would change almost nothing",Many people have directly or indirectly contributed to my progress in life,I feel good when I co-operate with others,"When making a decision, I take other people's needs and feelings into account.","It is my duty to take care of my family, even when I have to sacrifice what I want.",Honesty is important to achieve success,Social inequalities bother me,What I am today is solely because of my hard work and talent,People should keep their troubles to themselves,It is important that I do my job better than others,Winning is everything,I don’t worry about others as long as I am happy,It upsets me when my work is not recognized by others,Traditional values are important for me,I plan for the long-term,I am willing to give up today’s fun for future success,I believe persistence is key to success,Saving money is important to me,It is okay to use shortcuts to get what you want,I like to get quick results,I would rather spend money today than save for future,"When my routine is disturbed, it upsets me","I admire people who own expensive homes, cars, and clothes",The things I own say a lot about how well I’m doing in life,I aspire a luxurious and comfortable lifestyle,My life would be better if I owned certain things I don’t have,I’d be happier if I could afford to buy more things,I don’t pay much attention to the material objects other people own,I usually buy only the things I need,I have all the things I really need to enjoy life,My happiness does not depend on things I own,There is a higher purpose to life than comfort and luxury,I believe success in life does not mean becoming rich,I segregate waste before its disposal,I try to conserve water,I try to educate people I know about climate change,I sign petitions related to environmental issues,I try to conserve electricity,I walk/cycle/use public transport to save fuel,Age,has_child,Lives_in_city_tier
0,OD115235130186750000,G3M1R2,2019-04-17,Delhi,New Delhi,Mobiles & Accessories,Mobiles,3.7,1,20999.0,20999.0,12%,No,Tier_1,0,0,Yes,POCO,4,2019,Weekday,9.952230096524119,Mid,Male,Student,Not Married,No,"Rs. 10,000 – 25,000",UPI,No,I have never tried.,Yes,once or twice a week,Very Often,3.0,very often,5.0,6.0,4.0,2.0,6.0,6.0,7.0,6.0,5.0,6.0,4.0,4.0,7.0,5.0,2.0,5.0,7.0,6.0,3.0,6.0,5.0,5.0,7.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,24.0,No,Tier 3
1,OD116655289030474000,G3M1R1,2019-09-29,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,499.0,499.0,5%,No,Tier_1,0,0,Yes,Sassafras,9,2019,Weekend,6.212606095751519,End,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4.0,very often,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,5.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,7.0,6.0,6.0,7.0,25.0,No,Tier_1
2,OD117224497390037000,G3M1R1,2019-12-03,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,376.0,376.0,0%,No,Tier_1,0,0,Yes,Ap'pulse,12,2019,Weekday,5.929589143389895,Beginning,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4.0,very often,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,5.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,7.0,6.0,6.0,7.0,25.0,No,Tier_1
3,OD117342814747169000,G3M1R2,2019-12-17,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,3999.0,3999.0,18%,No,Tier_1,0,0,No,Realme,12,2019,Weekday,8.293799608846818,Mid,Male,Student,Not Married,No,"Rs. 10,000 – 25,000",UPI,No,I have never tried.,Yes,once or twice a week,Very Often,3.0,very often,5.0,6.0,4.0,2.0,6.0,6.0,7.0,6.0,5.0,6.0,4.0,4.0,7.0,5.0,2.0,5.0,7.0,6.0,3.0,6.0,5.0,5.0,7.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,24.0,No,Tier 3
4,OD117436954229110000,G3M1R4,2019-12-28,Karnataka,Bengaluru,Food Products,Food Products,4.4,25,2879.78,2248.78,5%,No,Tier_1,22,0,No,HOUSEHOLD,12,2019,Weekend,7.718143125920614,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
5,OD117698992229130000,G3M1R4,2020-01-27,Karnataka,Bengaluru,Food Products,Food Products,4.4,22,1670.0,1288.0,5%,No,Tier_1,23,0,No,HOUSEHOLD,1,2020,Weekday,7.160845906664299,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2.0,very often,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,1.0,6.0,1.0,32.0,No,Tier 3
6,OD118951354305143000,G3M1R1,2020-06-20,Delhi,New Delhi,Home Furnishing,Cushions & Pillows,3.5,1,359.0,341.0,18%,1st Wave,Tier_1,6,0,Yes,Recron,6,2020,Weekend,5.831882477283517,End,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4.0,very often,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,5.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,7.0,6.0,6.0,7.0,25.0,No,Tier_1
7,OD119655556725610000,G3M1R5,2020-09-10,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,4.3,1,149.0,189.0,28%,1st Wave,Tier_1,0,27,Yes,Mitzvah,9,2020,Weekday,5.241747015059643,Mid,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4.0,Always,6.0,6.0,5.0,2.0,6.0,7.0,6.0,7.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,6.0,2.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,7.0,2.0,2.0,4.0,3.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,6.0,6.0,5.0,24.0,No,Tier 3
8,OD119673972444216000,G3M1R6,2020-09-12,West Bengal,Ranghbaghi,Books,Books,4.5,1,247.0,247.0,0%,1st Wave,Tier 3,0,0,No,Books,9,2020,Weekend,5.5093883366279774,Mid,Male,Junior Research Fellow,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,sometimes but not consistent,Yes,once or twice a week,Rarely,5.0,sometimes,5.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,2.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,4.0,7.0,4.0,7.0,7.0,2.0,3.0,4.0,4.0,3.0,3.0,25.0,No,Tier_1
9,OD119738522633432000,G3M1R5,2020-09-20,Delhi,New Delhi,Audio & Video,Headphones,3.9,1,325.0,350.0,18%,1st Wave,Tier_1,5,13,Yes,hilips,9,2020,Weekend,5.857933154483459,End,Male,RESEARCH SCHOLAR,Not Married,No,"Rs. 25,000 – 50,000",UPI,Yes,everyday,Yes,everyday,Sometimes,4.0,Always,6.0,6.0,5.0,2.0,6.0,7.0,6.0,7.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,6.0,2.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,7.0,2.0,2.0,4.0,3.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,6.0,6.0,5.0,24.0,No,Tier 3
