,index,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,Collectiv,Life_Satsif,Indiv,LongTermOri,ShortTermOri,Materialism,Spiritualism,EnvBehav,Age,has_child,Lives_in_city_tier,Clusters,More_than_average
0,9,OD115235130186750000,G3M1R2,2019-04-17,Delhi,New Delhi,Mobiles & Accessories,Mobiles,3.7,1,20999.0,20999.0,12%,Tier_1,0,0,POCO,Yes,No,4,2019,Weekday,9.952230096524119,Mid,Male,Student,Not Married,No,"Rs. 10,000 – 25,000",UPI,No,I have never tried.,Yes,once or twice a week,Very Often,3,very often,High,Low,Low,Low,Low,High,Low,High,24,No,Tier 3,2,No
1,12,OD117342814747169000,G3M1R2,2019-12-17,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,3999.0,3999.0,18%,Tier_1,0,0,Realme,No,No,12,2019,Weekday,8.293799608846818,Mid,Male,Student,Not Married,No,"Rs. 10,000 – 25,000",UPI,No,I have never tried.,Yes,once or twice a week,Very Often,3,very often,High,Low,Low,Low,Low,High,Low,High,24,No,Tier 3,2,No
2,10,OD116655289030474000,G3M1R1,2019-09-29,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,499.0,499.0,5%,Tier_1,0,0,Sassafras,No,No,9,2019,Weekend,6.212606095751519,End,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4,very often,High,High,Low,High,Low,Low,Low,High,25,No,Tier_1,0,No
3,11,OD117224497390037000,G3M1R1,2019-12-03,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,376.0,376.0,0%,Tier_1,0,0,Ap'pulse,Yes,No,12,2019,Weekday,5.929589143389895,Beginning,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4,very often,High,High,Low,High,Low,Low,Low,High,25,No,Tier_1,0,No
4,15,OD118951354305143000,G3M1R1,2020-06-20,Delhi,New Delhi,Home Furnishing,Cushions & Pillows,3.5,1,359.0,341.0,18%,Tier_1,6,0,Recron,No,1st Wave,6,2020,Weekend,5.831882477283517,End,Female,Student,Not Married,No,Prefer Not to Say,UPI,Yes,everyday,Yes,everyday,Sometimes,4,very often,High,High,Low,High,Low,Low,Low,High,25,No,Tier_1,0,No
5,13,OD117436954229110000,G3M1R4,2019-12-28,Karnataka,Bengaluru,Food Products,Food Products,4.4,25,2879.78,2248.78,5%,Tier_1,22,0,HOUSEHOLD,No,No,12,2019,Weekend,7.718143125920614,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
6,14,OD117698992229130000,G3M1R4,2020-01-27,Karnataka,Bengaluru,Food Products,Food Products,4.4,22,1670.0,1288.0,5%,Tier_1,23,0,HOUSEHOLD,No,No,1,2020,Weekday,7.160845906664299,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
7,22, OD120558265400507000,G3M1R4,2020-12-23,Karnataka,Bengaluru,Furniture,Chairs,4.4,1,14578.0,14578.0,18%,Tier_1,0,0,Featherlite,No,No,12,2020,Weekday,9.587268821942159,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
8,23,OD121117394968508000,G3M1R4,2021-02-26,Karnataka,Bengaluru,Books,Books,4.6,1,699.0,704.0,0%,Tier_1,4,5,Human,No,No,2,2021,Weekday,6.556778356158042,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
9,31,OD121656434350788000,G3M1R4,2021-04-29,Karnataka,Bengaluru,Furniture,Tables,4.7,1,4299.0,4299.0,18%,Tier_1,0,0,InnoFur,No,2nd Wave,4,2021,Weekday,8.366137716496281,End,Male,"Domain Expert, Ergonomics",Married,No,Prefer Not to Say,UPI,Yes,sometimes but not consistent,Yes,sometimes but not consistent,Rarely,2,very often,High,Low,Low,High,Low,Low,High,Low,32,No,Tier 3,2,No
