,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
243,"'Home Appliances', 'Topwear'",Men's Footwear,0.013297872,0.152925532,0.011968085,0.9,5.885217391,0.009934501,8.470744681
242,"'Home Appliances', ""Men's Footwear""",'Topwear',0.015957447,0.114361702,0.011968085,0.75,6.558139535,0.010143164,3.542553191
214,"'Headphones', 'Health Care'",'Mobile Accessories',0.01462766,0.195478723,0.010638298,0.727272727,3.720470006,0.007778902,2.949911348
123,'Speakers',Men's Footwear,0.015957447,0.152925532,0.010638298,0.666666667,4.35942029,0.008197997,2.541223404
153,"'Books', ""Men's Footwear""",'Headphones',0.019946809,0.196808511,0.011968085,0.6,3.048648649,0.008042383,2.007978723
46,'Flour and Sooji','Pulses',0.019946809,0.021276596,0.011968085,0.6,28.2,0.011543685,2.446808511
69,'Laptops','Headphones',0.018617021,0.196808511,0.010638298,0.571428571,2.903474903,0.00697431,1.874113475
47,'Pulses','Flour and Sooji',0.021276596,0.019946809,0.011968085,0.5625,28.2,0.011543685,2.240121581
147,"'Mobile Accessories', 'Body & Face Skin Care'",'Mobiles',0.019946809,0.196808511,0.010638298,0.533333333,2.70990991,0.006712596,1.72112462
44,'Flour and Sooji',"'Dry Fruit, Nut & Seed'",0.019946809,0.031914894,0.010638298,0.533333333,16.71111111,0.010001698,2.074468085
208,"'Bottomwear', 'Mobiles'",'Mobile Accessories',0.025265957,0.195478723,0.013297872,0.526315789,2.692445399,0.008358915,1.698433806
232,"Men's Footwear, 'Topwear'",'Headphones',0.026595745,0.196808511,0.013297872,0.5,2.540540541,0.008063603,1.606382979
231,"'Headphones', 'Topwear'",Men's Footwear,0.026595745,0.152925532,0.013297872,0.5,3.269565217,0.009230704,1.694148936
148,"'Mobiles', 'Body & Face Skin Care'",'Mobile Accessories',0.021276596,0.195478723,0.010638298,0.5,2.557823129,0.006479176,1.609042553
201,"'Bottomwear', ""Men's Footwear""",'Mobiles',0.021276596,0.196808511,0.010638298,0.5,2.540540541,0.006450883,1.606382979
196,"'Bottomwear', ""Men's Footwear""",'Mobile Accessories',0.021276596,0.195478723,0.010638298,0.5,2.557823129,0.006479176,1.609042553
183,"'Bottomwear', ""Men's Footwear""",'Headphones',0.021276596,0.196808511,0.010638298,0.5,2.540540541,0.006450883,1.606382979
226,"'Mobiles', ""Men's Footwear""",'Headphones',0.033244681,0.196808511,0.015957447,0.48,2.438918919,0.009414611,1.544599018
206,"'Mobile Accessories', 'Bottomwear'",'Mobiles',0.027925532,0.196808511,0.013297872,0.476190476,2.41956242,0.00780189,1.533365571
188,"'Bottomwear', 'Headphones'",'Mobiles',0.025265957,0.196808511,0.011968085,0.473684211,2.406827881,0.00699553,1.52606383
189,"'Bottomwear', 'Mobiles'",'Headphones',0.025265957,0.196808511,0.011968085,0.473684211,2.406827881,0.00699553,1.52606383
177,"'Mobile Accessories', 'Topwear'",'Books',0.022606383,0.179521277,0.010638298,0.470588235,2.621350763,0.006579971,1.549793144
213,"'Mobile Accessories', 'Health Care'",'Headphones',0.022606383,0.196808511,0.010638298,0.470588235,2.391096979,0.006189169,1.51713948
236,"'Mobile Accessories', 'Headphones'",'Mobiles',0.043882979,0.196808511,0.019946809,0.454545455,2.30958231,0.011310265,1.47251773
244,"Men's Footwear, 'Topwear'",'Home Appliances',0.026595745,0.058510638,0.011968085,0.45,7.690909091,0.010411951,1.711798839
65,'HouseHold Supplies','Headphones',0.026595745,0.196808511,0.011968085,0.45,2.286486486,0.006733816,1.460348162
87,'Health Care','Mobile Accessories',0.051861702,0.195478723,0.022606383,0.435897436,2.229897087,0.012468524,1.426196809
238,"'Headphones', 'Mobiles'",'Mobile Accessories',0.046542553,0.195478723,0.019946809,0.428571429,2.192419825,0.01084873,1.407912234
219,"'Mobile Accessories', ""Men's Footwear""",'Headphones',0.027925532,0.196808511,0.011968085,0.428571429,2.177606178,0.006472103,1.405585106
200,"'Bottomwear', 'Mobiles'",Men's Footwear,0.025265957,0.152925532,0.010638298,0.421052632,2.753318078,0.006774488,1.463128627
182,"'Bottomwear', 'Headphones'",Men's Footwear,0.025265957,0.152925532,0.010638298,0.421052632,2.753318078,0.006774488,1.463128627
160,"'Books', 'Headphones'",'Mobile Accessories',0.035904255,0.195478723,0.01462766,0.407407407,2.084152179,0.007609142,1.357629654
80,'Utility Lighting','Headphones',0.026595745,0.196808511,0.010638298,0.4,2.032432432,0.005404029,1.338652482
48,'Fragrances','Mobiles',0.039893617,0.196808511,0.015957447,0.4,2.032432432,0.008106043,1.338652482
126,'Utility Lighting',Men's Footwear,0.026595745,0.152925532,0.010638298,0.4,2.615652174,0.006571129,1.41179078
138,'Utility Lighting','Mobiles',0.026595745,0.196808511,0.010638298,0.4,2.032432432,0.005404029,1.338652482
158,"'Mobile Accessories', 'Books'",'Headphones',0.037234043,0.196808511,0.01462766,0.392857143,1.996138996,0.007299683,1.32290363
195,"'Mobile Accessories', ""Men's Footwear""",'Bottomwear',0.027925532,0.090425532,0.010638298,0.380952381,4.212885154,0.008113117,1.469312602
194,"'Mobile Accessories', 'Bottomwear'",Men's Footwear,0.027925532,0.152925532,0.010638298,0.380952381,2.491097308,0.006367771,1.368351064
249,"'Mobile Accessories', ""Men's Footwear""",'Mobiles',0.027925532,0.196808511,0.010638298,0.380952381,1.935649936,0.005142316,1.297463175
178,"'Books', 'Topwear'",'Mobile Accessories',0.027925532,0.195478723,0.010638298,0.380952381,1.948817622,0.005179451,1.299611293
131,'Personal Care Appliances','Mobile Accessories',0.058510638,0.195478723,0.021276596,0.363636364,1.860235003,0.009839011,1.26424772
225,"'Headphones', ""Men's Footwear""",'Mobiles',0.043882979,0.196808511,0.015957447,0.363636364,1.847665848,0.007320903,1.262158055
165,"'Books', 'Mobiles'",'Headphones',0.033244681,0.196808511,0.011968085,0.36,1.829189189,0.005425249,1.254986702
172,"'Books', 'Mobiles'",'Mobile Accessories',0.033244681,0.195478723,0.011968085,0.36,1.841632653,0.005469457,1.257064495
117,'Luggage & Travel','Mobile Accessories',0.030585106,0.195478723,0.010638298,0.347826087,1.77935522,0.00465956,1.233599291
224,"'Headphones', 'Mobiles'",Men's Footwear,0.046542553,0.152925532,0.015957447,0.342857143,2.241987578,0.008839902,1.289026364
135,'Personal Care Appliances','Mobiles',0.058510638,0.196808511,0.019946809,0.340909091,1.732186732,0.008431417,1.218635363
56,'Hair Care and Accessory','Mobiles',0.078457447,0.196808511,0.026595745,0.338983051,1.722400366,0.011154651,1.215084561
45,"'Dry Fruit, Nut & Seed'",'Flour and Sooji',0.031914894,0.019946809,0.010638298,0.333333333,16.71111111,0.010001698,1.470079787
42,'Cookware','Headphones',0.031914894,0.196808511,0.010638298,0.333333333,1.693693694,0.004357175,1.204787234
159,"'Mobile Accessories', 'Headphones'",'Books',0.043882979,0.179521277,0.01462766,0.333333333,1.856790123,0.006749731,1.230718085
164,"'Books', 'Headphones'",'Mobiles',0.035904255,0.196808511,0.011968085,0.333333333,1.693693694,0.004901822,1.204787234
152,"'Books', 'Headphones'",Men's Footwear,0.035904255,0.152925532,0.011968085,0.333333333,2.179710145,0.006477408,1.270611702
237,"'Mobile Accessories', 'Mobiles'",'Headphones',0.061170213,0.196808511,0.019946809,0.326086957,1.656874266,0.00790799,1.191832533
51,'Hair Care and Accessory','Headphones',0.078457447,0.196808511,0.025265957,0.322033898,1.636280348,0.009824864,1.184707447
170,"'Mobile Accessories', 'Books'",'Mobiles',0.037234043,0.196808511,0.011968085,0.321428571,1.633204633,0.004640109,1.183650616
250,"'Mobiles', ""Men's Footwear""",'Mobile Accessories',0.033244681,0.195478723,0.010638298,0.32,1.637006803,0.00413967,1.183119524
202,"'Mobiles', ""Men's Footwear""",'Bottomwear',0.033244681,0.090425532,0.010638298,0.32,3.538823529,0.00763213,1.337609512
63,'Home Appliances','Headphones',0.058510638,0.196808511,0.018617021,0.318181818,1.616707617,0.00710163,1.178014184
128,'Mobile Accessories','Mobiles',0.195478723,0.196808511,0.061170213,0.31292517,1.589998161,0.022698336,1.169001475
93,'Health Supplements','Mobile Accessories',0.042553191,0.195478723,0.013297872,0.3125,1.598639456,0.004979629,1.170212766
94,'Health Supplements','Mobiles',0.042553191,0.196808511,0.013297872,0.3125,1.587837838,0.004923042,1.16827853
129,'Mobiles','Mobile Accessories',0.196808511,0.195478723,0.061170213,0.310810811,1.589998161,0.022698336,1.167344597
37,'Bottomwear','Mobile Accessories',0.090425532,0.195478723,0.027925532,0.308823529,1.579831933,0.010249264,1.16398823
230,"'Headphones', ""Men's Footwear""",'Topwear',0.043882979,0.114361702,0.013297872,0.303030303,2.649753347,0.00827934,1.270698427
20,"'Kurtas, Ethnic Sets and Bottoms'",'Books',0.058510638,0.179521277,0.017287234,0.295454545,1.645791246,0.00678333,1.164550446
105,'Home Medical Supplies','Mobile Accessories',0.045212766,0.195478723,0.013297872,0.294117647,1.504601841,0.004459739,1.139738475
71,Men's Footwear,'Headphones',0.152925532,0.196808511,0.043882979,0.286956522,1.458049354,0.013785933,1.126427089
66,'Kitchen Appliances','Headphones',0.055851064,0.196808511,0.015957447,0.285714286,1.451737452,0.004965482,1.124468085
176,"'Mobile Accessories', 'Books'",'Topwear',0.037234043,0.114361702,0.010638298,0.285714286,2.49833887,0.006380149,1.239893617
11,'Body & Face Skin Care','Mobiles',0.074468085,0.196808511,0.021276596,0.285714286,1.451737452,0.006620643,1.124468085
25,'Pens & Stationery','Books',0.037234043,0.179521277,0.010638298,0.285714286,1.591534392,0.003953995,1.148670213
59,'Health Care','Headphones',0.051861702,0.196808511,0.01462766,0.282051282,1.433125433,0.004420835,1.118731003
32,'Bottomwear','Headphones',0.090425532,0.196808511,0.025265957,0.279411765,1.419713831,0.007469443,1.114633087
38,'Bottomwear','Mobiles',0.090425532,0.196808511,0.025265957,0.279411765,1.419713831,0.007469443,1.114633087
154,"'Headphones', ""Men's Footwear""",'Books',0.043882979,0.179521277,0.011968085,0.272727273,1.519191919,0.004090157,1.128158245
220,"'Headphones', ""Men's Footwear""",'Mobile Accessories',0.043882979,0.195478723,0.011968085,0.272727273,1.395176252,0.003389896,1.106216755
96,'Home Appliances',Men's Footwear,0.058510638,0.152925532,0.015957447,0.272727273,1.783399209,0.007009676,1.164727394
77,'Personal Care Appliances','Headphones',0.058510638,0.196808511,0.015957447,0.272727273,1.385749386,0.004442055,1.104388298
114,"'Kurtas, Ethnic Sets and Bottoms'",'Topwear',0.058510638,0.114361702,0.015957447,0.272727273,2.384778013,0.009266071,1.21775266
218,"'Mobile Accessories', 'Headphones'",Men's Footwear,0.043882979,0.152925532,0.011968085,0.272727273,1.783399209,0.005257257,1.164727394
99,'Home Appliances','Mobile Accessories',0.058510638,0.195478723,0.015957447,0.272727273,1.395176252,0.004519862,1.106216755
100,'Home Appliances','Mobiles',0.058510638,0.196808511,0.015957447,0.272727273,1.385749386,0.004442055,1.104388298
140,'Winter Wear','Mobiles',0.049202128,0.196808511,0.013297872,0.27027027,1.373265157,0.003614475,1.100669819
82,'Winter Wear','Headphones',0.049202128,0.196808511,0.013297872,0.27027027,1.373265157,0.003614475,1.100669819
9,'Body & Face Skin Care','Mobile Accessories',0.074468085,0.195478723,0.019946809,0.267857143,1.370262391,0.005389882,1.098858329
16,'Home Medical Supplies','Books',0.045212766,0.179521277,0.011968085,0.264705882,1.474509804,0.003851432,1.115851064
109,'Kitchen Appliances','Mobile Accessories',0.055851064,0.195478723,0.01462766,0.261904762,1.339812115,0.003709965,1.089996568
112,'Kitchen Appliances','Topwear',0.055851064,0.114361702,0.01462766,0.261904762,2.290143965,0.008240437,1.199897049
166,"'Headphones', 'Mobiles'",'Books',0.046542553,0.179521277,0.011968085,0.257142857,1.432380952,0.003612707,1.104490589
190,"'Headphones', 'Mobiles'",'Bottomwear',0.046542553,0.090425532,0.011968085,0.257142857,2.843697479,0.00775945,1.224427169
84,'Health Care',Men's Footwear,0.051861702,0.152925532,0.013297872,0.256410256,1.676700111,0.005366894,1.139169112
